WEEK_START_DATE,WEEK,LOAN_ID,TS,LOAN_TYPE_NAME,LOAN_PURPOSE_NAME,APPLICANT_INCOME_000S,LOAN_AMOUNT_000S,COUNTY_NAME,MORTGAGERESPONSE
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,56.1,250,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,36.7,276,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,45.9,266,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,51.5,248,Rensselaer County,0
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,50,246,Rensselaer County,0
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,41.3,272,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,47.2,255,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,42.9,258,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,45.2,271,Rensselaer County,0
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,54,264,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,45.9,250,Rensselaer County,0
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,44.6,250,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,45.9,266,Rensselaer County,0
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,43.2,260,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,43.7,266,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,38.4,264,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,51.8,250,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,52.3,266,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,37.5,277,Rensselaer County,0
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,53.3,240,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,47.1,248,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,43.6,269,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,42.9,276,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,46.3,258,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,46.9,282,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,36.9,267,Rensselaer County,0
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,41.7,233,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,42.9,266,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,44.8,231,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,32.5,264,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,43.6,270,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,36.4,276,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,49.7,241,Rensselaer County,0
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,49.7,244,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,39.6,278,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,53.6,226,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,42.4,279,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,38.4,264,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,43.2,260,Rensselaer County,1
2025-05-11 00:00:00,20,157154,54:11.5,Conventional,Refinancing,47.1,248,Rensselaer County,1
