WEEK_START_DATE,WEEK,LOAN_ID,TS,LOAN_TYPE_NAME,LOAN_PURPOSE_NAME,APPLICANT_INCOME_000S,LOAN_AMOUNT_000S,COUNTY_NAME,MORTGAGERESPONSE
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,59.8,293,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,61.7,290,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,61.8,304,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,63.8,306,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,59,281,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,63,279,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,53,306,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,62.5,292,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,60.2,305,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,49.9,286,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,55.9,297,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,68,298,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,60.1,278,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,67.5,310,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,57.7,284,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,55.8,281,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,56.3,291,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,57.6,299,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,57.6,283,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,60,299,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,58.1,307,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,56.9,308,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,59.1,296,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,56.1,282,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,60.4,302,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,57.9,296,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,58.1,284,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,57.4,291,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,58.5,334,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,54.3,288,Ulster County,0
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,42.5,313,Ulster County,1
2024-12-20 00:00:00,1,361354,20:15.4,Conventional,Refinancing,46.9,327,Ulster County,1
